Curve	1	2		3		4	
Analyte	CBS	CBS		CBS		CBS	
Ligand	Ch 1	Ch 1		Ch 1		Ch 1	
Conc	0.00E+00		5.00E-05		0.00E+00		0.00E+00
Time1	Data1	Time2	Data2	Time3	Data3	Time4	Data4
76.6	0	76.6	6.3271	76.6	0	76.6	0
76.8	0	76.8	6.173	76.8	0	76.8	0
77	0	77	6.4382	77	0	77	0
77.2	0	77.2	6.4813	77.2	0	77.2	0
77.4	0	77.4	6.4202	77.4	0	77.4	0
77.6	0	77.6	6.2928	77.6	0	77.6	0
77.8	0	77.8	6.0159	77.8	0	77.8	0
78	0	78	6.267	78	0	78	0
78.2	0	78.2	6.0142	78.2	0	78.2	0
78.4	0	78.4	5.9748	78.4	0	78.4	0
78.6	0	78.6	5.5474	78.6	0	78.6	0
78.8	0	78.8	6.0034	78.8	0	78.8	0
79	0	79	5.4896	79	0	79	0
79.2	0	79.2	5.5249	79.2	0	79.2	0
79.4	0	79.4	5.843	79.4	0	79.4	0
79.6	0	79.6	5.696	79.6	0	79.6	0
79.8	0	79.8	5.5522	79.8	0	79.8	0
80	0	80	5.8732	80	0	80	0
80.2	0	80.2	5.3089	80.2	0	80.2	0
80.4	0	80.4	5.39	80.4	0	80.4	0
80.6	0	80.6	5.3613	80.6	0	80.6	0
80.8	0	80.8	5.2651	80.8	0	80.8	0
81	0	81	5.3798	81	0	81	0
81.2	0	81.2	5.6739	81.2	0	81.2	0
81.4	0	81.4	5.4327	81.4	0	81.4	0
81.6	0	81.6	5.1486	81.6	0	81.6	0
81.8	0	81.8	5.1596	81.8	0	81.8	0
82	0	82	5.543	82	0	82	0
82.2	0	82.2	4.9367	82.2	0	82.2	0
82.4	0	82.4	4.957	82.4	0	82.4	0
82.6	0	82.6	4.8997	82.6	0	82.6	0
82.8	0	82.8	5.1639	82.8	0	82.8	0
83	0	83	4.9712	83	0	83	0
83.2	0	83.2	5.0776	83.2	0	83.2	0
83.4	0	83.4	4.5582	83.4	0	83.4	0
83.6	0	83.6	4.9687	83.6	0	83.6	0
83.8	0	83.8	4.7501	83.8	0	83.8	0
84	0	84	5.162	84	0	84	0
84.2	0	84.2	4.4566	84.2	0	84.2	0
84.4	0	84.4	4.8525	84.4	0	84.4	0
84.6	0	84.6	4.7002	84.6	0	84.6	0
84.8	0	84.8	4.5929	84.8	0	84.8	0
85	0	85	4.1372	85	0	85	0
85.2	0	85.2	4.5957	85.2	0	85.2	0
85.4	0	85.4	4.3193	85.4	0	85.4	0
85.6	0	85.6	4.4437	85.6	0	85.6	0
85.8	0	85.8	4.4656	85.8	0	85.8	0
86	0	86	4.46	86	0	86	0
86.2	0	86.2	4.297	86.2	0	86.2	0
86.4	0	86.4	4.8016	86.4	0	86.4	0
86.6	0	86.6	4.9554	86.6	0	86.6	0
86.8	0	86.8	4.8473	86.8	0	86.8	0
87	0	87	5.0801	87	0	87	0
87.2	0	87.2	5.0024	87.2	0	87.2	0
87.4	0	87.4	4.5874	87.4	0	87.4	0
87.6	0	87.6	4.5186	87.6	0	87.6	0
87.8	0	87.8	4.7351	87.8	0	87.8	0
88	0	88	4.6127	88	0	88	0
88.2	0	88.2	4.3875	88.2	0	88.2	0
88.4	0	88.4	4.2524	88.4	0	88.4	0
88.6	0	88.6	4.3713	88.6	0	88.6	0
88.8	0	88.8	4.4243	88.8	0	88.8	0
89	0	89	4.5315	89	0	89	0
89.2	0	89.2	4.4903	89.2	0	89.2	0
89.4	0	89.4	4.8272	89.4	0	89.4	0
89.6	0	89.6	4.6663	89.6	0	89.6	0
89.8	0	89.8	4.4371	89.8	0	89.8	0
90	0	90	4.4277	90	0	90	0
90.2	0	90.2	4.3897	90.2	0	90.2	0
90.4	0	90.4	4.404	90.4	0	90.4	0
90.6	0	90.6	4.2586	90.6	0	90.6	0
90.8	0	90.8	3.7855	90.8	0	90.8	0
91	0	91	4.3753	91	0	91	0
91.2	0	91.2	4.5406	91.2	0	91.2	0
91.4	0	91.4	4.3393	91.4	0	91.4	0
91.6	0	91.6	4.1027	91.6	0	91.6	0
91.8	0	91.8	4.2889	91.8	0	91.8	0
92	0	92	4.0647	92	0	92	0
92.2	0	92.2	4.279	92.2	0	92.2	0
92.4	0	92.4	4.2618	92.4	0	92.4	0
92.6	0	92.6	4.0959	92.6	0	92.6	0
92.8	0	92.8	4.149	92.8	0	92.8	0
93	0	93	3.766	93	0	93	0
93.2	0	93.2	3.9962	93.2	0	93.2	0
93.4	0	93.4	3.7368	93.4	0	93.4	0
93.6	0	93.6	3.9989	93.6	0	93.6	0
93.8	0	93.8	4.0156	93.8	0	93.8	0
94	0	94	3.8617	94	0	94	0
94.2	0	94.2	3.777	94.2	0	94.2	0
94.4	0	94.4	4.1298	94.4	0	94.4	0
94.6	0	94.6	3.8569	94.6	0	94.6	0
94.8	0	94.8	3.8488	94.8	0	94.8	0
95	0	95	3.5847	95	0	95	0
95.2	0	95.2	3.2805	95.2	0	95.2	0
95.4	0	95.4	3.1874	95.4	0	95.4	0
95.6	0	95.6	3.507	95.6	0	95.6	0
95.8	0	95.8	3.2344	95.8	0	95.8	0
96	0	96	3.477	96	0	96	0
96.2	0	96.2	3.6874	96.2	0	96.2	0
96.4	0	96.4	3.7733	96.4	0	96.4	0
96.6	0	96.6	3.4372	96.6	0	96.6	0
96.8	0	96.8	3.7765	96.8	0	96.8	0
97	0	97	3.5389	97	0	97	0
97.2	0	97.2	3.6863	97.2	0	97.2	0
97.4	0	97.4	3.4619	97.4	0	97.4	0
97.6	0	97.6	3.7117	97.6	0	97.6	0
97.8	0	97.8	3.4048	97.8	0	97.8	0
98	0	98	3.4063	98	0	98	0
98.2	0	98.2	3.3291	98.2	0	98.2	0
98.4	0	98.4	3.646	98.4	0	98.4	0
98.6	0	98.6	3.0542	98.6	0	98.6	0
98.8	0	98.8	3.5067	98.8	0	98.8	0
99	0	99	2.9391	99	0	99	0
99.2	0	99.2	3.3053	99.2	0	99.2	0
99.4	0	99.4	3.3648	99.4	0	99.4	0
99.6	0	99.6	3.2558	99.6	0	99.6	0
99.8	0	99.8	3.1386	99.8	0	99.8	0
100	0	100	3.2662	100	0	100	0
100.2	0	100.2	3.1483	100.2	0	100.2	0
100.4	0	100.4	3.323	100.4	0	100.4	0
100.6	0	100.6	2.8435	100.6	0	100.6	0
100.8	0	100.8	2.8435	100.8	0	100.8	0
101	0	101	2.2763	101	0	101	0
101.2	0	101.2	2.7015	101.2	0	101.2	0
101.4	0	101.4	2.4133	101.4	0	101.4	0
101.6	0	101.6	2.7705	101.6	0	101.6	0
101.8	0	101.8	2.4427	101.8	0	101.8	0
102	0	102	2.8451	102	0	102	0
102.2	0	102.2	2.8774	102.2	0	102.2	0
102.4	0	102.4	2.8774	102.4	0	102.4	0
102.6	0	102.6	2.8562	102.6	0	102.6	0
102.8	0	102.8	2.9763	102.8	0	102.8	0
103	0	103	2.6252	103	0	103	0
103.2	0	103.2	2.4565	103.2	0	103.2	0
103.4	0	103.4	2.6342	103.4	0	103.4	0
103.6	0	103.6	2.4137	103.6	0	103.6	0
103.8	0	103.8	2.1236	103.8	0	103.8	0
104	0	104	2.4521	104	0	104	0
104.2	0	104.2	2.2754	104.2	0	104.2	0
